Age,Gender,Job_Role,Stress_Level,Hours_Worked_Per_Week,Mental_Health_Condition,Region,Work_Location
32,Non-binary,HR,Medium,47,Depression,Europe,Hybrid
40,Female,Data Scientist,Medium,52,Anxiety,Asia,Remote
59,Non-binary,Software Engineer,Medium,46,Anxiety,North America,Hybrid
27,Male,Software Engineer,High,32,Depression,Europe,Onsite
31,Prefer not to say,Sales,Low,51,Anxiety,Asia,Remote
42,Non-binary,Data Scientist,Medium,54,Depression,North America,Onsite
30,Female,HR,Low,57,Depression,North America,Hybrid
40,Female,Marketing,High,21,Depression,Europe,Remote
51,Non-binary,Designer,Low,45,Anxiety,North America,Hybrid
36,Prefer not to say,Project Manager,High,59,Anxiety,Oceania,Remote
56,Female,Sales,Low,44,Anxiety,Africa,Remote
45,Non-binary,Data Scientist,Low,37,Burnout,Europe,Onsite
49,Non-binary,Software Engineer,High,36,Anxiety,Oceania,Remote
59,Male,Software Engineer,Medium,59,Anxiety,South America,Remote
26,Female,Sales,Low,21,Burnout,South America,Hybrid
26,Non-binary,Sales,Medium,54,Depression,North America,Onsite
43,Prefer not to say,Sales,Low,57,Depression,Africa,Onsite
53,Non-binary,Marketing,Low,22,Depression,Asia,Onsite
56,Male,Sales,Low,54,Burnout,North America,Remote
49,Male,Project Manager,High,21,Burnout,South America,Onsite
53,Female,Project Manager,Low,56,Depression,Oceania,Onsite
47,Prefer not to say,Sales,High,33,Depression,Europe,Onsite
59,Male,Software Engineer,High,25,Depression,North America,Remote
22,Female,Data Scientist,Low,20,Anxiety,Asia,Onsite
37,Prefer not to say,Marketing,Medium,33,Depression,North America,Hybrid
45,Prefer not to say,Project Manager,Medium,20,Anxiety,North America,Remote
48,Male,Software Engineer,Medium,26,Anxiety,North America,Remote
36,Male,Designer,Medium,22,Depression,Europe,Hybrid
48,Male,Sales,Low,30,Depression,Asia,Onsite
24,Non-binary,Sales,Low,48,Anxiety,Africa,Onsite
30,Non-binary,Data Scientist,High,44,Burnout,Europe,Remote
54,Female,Designer,Medium,53,Depression,Europe,Remote
57,Prefer not to say,HR,High,23,Anxiety,South America,Remote
32,Male,Marketing,Medium,42,Burnout,North America,Remote
33,Male,Data Scientist,Medium,35,Burnout,South America,Remote
35,Male,Project Manager,Medium,37,Burnout,Europe,Onsite
26,Non-binary,HR,High,28,Anxiety,Europe,Onsite
60,Prefer not to say,Project Manager,Medium,46,Depression,Asia,Onsite
26,Female,Software Engineer,Medium,55,Burnout,Asia,Hybrid
30,Non-binary,Project Manager,Low,47,Anxiety,Africa,Hybrid
42,Male,Software Engineer,Low,48,Depression,Asia,Remote
25,Non-binary,Sales,Medium,33,Depression,Europe,Hybrid
33,Female,Sales,Medium,30,Depression,North America,Remote
25,Non-binary,Project Manager,Medium,28,Depression,Asia,Hybrid
